CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Mon Aug 11 12:25:15 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
TOTAL_INK_LIMIT "300.0"
WHITE_COLOR_PATCHES "4"
BLACK_COLOR_PATCHES "4"
OFPS_PATCHES "672"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 680
BEGIN_DATA
210 0.000000 36.32541 36.74218 1.961038 2.399279 2.931838
293 76.11285 227.5446 57.06627 32.03689 57.50009 14.11347
680 25.39143 57.25897 149.4000 8.270601 6.292600 29.96295
311 25.53266 228.0577 30.86104 29.13698 56.26870 11.46081
326 162.0464 96.50107 153.6909 25.69782 19.28293 33.37033
43 255.0000 209.0916 0.000000 64.42668 67.23888 10.44547
170 0.000000 172.0024 39.53178 15.97798 30.35767 7.824944
279 96.74088 216.7692 33.50822 30.64020 52.62280 10.86574
4 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
116 0.000000 0.000000 145.6781 6.112122 3.044526 27.92607
485 23.53544 32.66649 185.5040 10.61440 5.733868 47.13812
276 69.33804 34.12937 0.000000 4.023686 3.405001 1.304983
27 0.000000 71.64449 140.5788 8.000775 7.434069 26.66585
254 83.42289 174.8874 106.4879 22.32603 34.18851 19.91875
622 71.13023 243.2427 166.8657 42.28038 68.68865 48.03207
108 127.8151 201.9036 33.32681 30.95109 47.41207 9.830189
113 0.000000 210.2904 76.13723 25.18532 47.29007 15.45753
203 174.5349 43.53265 72.57570 20.45174 12.19128 8.305184
534 173.7729 195.8246 114.9003 40.79516 50.11240 24.41684
122 255.0000 36.07255 218.7928 55.08944 28.35777 69.65869
64 191.5548 207.4180 0.000000 44.60263 56.41698 9.400621
65 139.4617 0.000000 185.5629 20.34729 9.965857 47.47481
654 235.5408 59.21237 168.0205 43.65656 24.49838 39.98582
239 90.00788 120.6500 255.0000 29.77392 23.75324 97.56713
146 255.0000 93.53040 255.0000 63.62305 37.04193 98.34946
114 167.5565 135.7631 0.000000 25.57846 26.56053 4.639424
627 109.3533 29.81498 234.5123 22.51926 11.06153 79.27876
380 77.75067 50.53276 138.4020 9.813306 6.725132 25.60401
385 102.7901 63.24364 21.19448 8.423200 7.443445 2.564794
520 55.27515 213.1095 27.17106 26.35815 49.05545 9.977698
247 165.7184 217.1372 41.29972 41.51443 58.35478 12.04207
267 114.6883 0.000000 108.9153 10.68792 5.679531 15.69714
574 172.5020 167.8119 123.1630 35.33269 38.81584 25.10158
379 0.000000 34.17918 221.7304 14.58982 7.349247 69.75967
176 52.07763 82.84835 186.2151 14.25491 11.34484 48.42161
213 173.0901 109.1837 255.0000 41.38699 27.82098 97.74068
189 255.0000 29.23353 28.73067 42.48715 23.01994 4.199345
111 38.67516 122.0284 255.0000 26.58131 22.35414 97.46521
647 155.8317 195.3882 18.34506 34.06048 46.83660 8.688048
35 153.4911 0.000000 98.09974 16.28573 8.628359 13.13514
73 0.000000 0.000000 69.30675 2.072987 1.429127 6.651531
198 0.000000 146.5634 147.6054 16.52456 23.62762 32.13362
400 29.15766 203.3376 119.0875 26.03115 45.02176 25.49001
336 94.22742 197.5621 147.1977 30.71777 45.24387 35.39195
456 96.83331 0.000000 39.54007 6.234712 3.656064 3.184639
528 210.8669 73.97040 120.6123 33.37529 20.89561 20.92589
171 255.0000 116.2713 211.6483 59.76661 39.16737 66.72573
