CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Tue Apr  8 19:51:28 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "2388"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 2420
BEGIN_DATA
1 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
2 226.6440 234.5301 255.0000 79.40437 82.81427 106.3537
3 172.3192 89.34353 155.1624 27.35024 19.19849 33.90562
4 35.79197 11.46474 214.7597 13.95062 6.460026 64.87842
5 128.7233 151.4743 48.04924 21.48350 27.87374 7.883062
6 216.8209 104.9114 133.5798 38.50223 27.25634 26.27680
7 93.43294 255.0000 56.55836 41.63840 74.41545 16.80738
8 30.83801 77.35432 74.86766 5.459733 7.090649 8.509372
9 28.33613 23.82580 67.04097 2.807428 2.290446 6.418995
10 147.9409 240.0135 71.60915 45.08120 69.38816 17.88469
11 0.000000 31.06369 29.90181 1.717555 2.065709 2.377807
12 133.7603 15.45811 75.24812 12.13749 6.856730 8.180186
13 56.80566 146.3710 75.78798 14.17754 22.83374 11.25349
14 190.7003 195.9858 223.3025 54.96644 56.29629 78.17868
15 67.43408 128.1110 59.81688 11.78099 17.82965 7.889228
16 245.0186 156.3789 72.36400 51.29190 44.35777 12.85383
17 222.1867 177.5916 0.000000 46.56362 47.76685 7.627612
18 212.4563 244.3801 85.36696 61.79300 79.85973 21.60727
19 206.5401 63.30507 255.0000 45.99713 24.77033 96.90901
20 255.0000 184.0484 168.4800 65.85278 58.82466 45.66547
21 231.3605 201.6435 132.7651 58.74674 61.20304 31.47056
22 63.76685 58.29458 50.18550 5.165140 5.326329 4.624916
23 140.1405 157.3951 192.3779 33.19651 34.32104 55.33960
24 189.6678 215.6556 191.6603 55.55001 63.99360 59.47710
25 238.0873 153.5625 149.8874 52.74962 43.92667 35.08796
26 39.29052 166.1485 147.8968 20.65122 30.59768 33.38119
27 17.07305 137.7285 238.6827 25.56915 25.18646 85.00120
28 113.6625 174.4159 55.65471 23.59105 34.92631 10.02035
29 13.03061 50.49685 40.71613 2.706593 3.542033 3.452658
30 221.8122 90.21180 206.5590 45.50308 28.06095 62.05935
31 88.73563 128.6261 118.9084 16.06884 19.85173 21.10032
32 90.19454 36.22476 200.0720 16.15503 8.556140 55.81796
33 68.97951 0.000000 255.0000 21.29952 9.399413 95.24275
34 0.000000 0.000000 255.0000 18.87111 8.147314 95.12896
35 255.0000 0.000000 0.000000 41.83017 22.05217 2.913230
36 0.000000 255.0000 255.0000 54.27632 78.94783 106.9308
37 0.000000 255.0000 0.000000 36.40521 71.80052 12.80184
38 255.0000 0.000000 255.0000 59.70128 29.19948 97.04219
39 0.000000 109.4367 255.0000 24.33174 19.06706 96.94919
40 0.000000 186.7730 0.000000 18.54639 36.08786 6.848844
41 0.000000 0.000000 180.9778 9.255573 4.301708 44.48295
42 255.0000 0.000000 142.6025 46.70919 24.00347 28.61153
43 255.0000 187.1593 255.0000 77.32878 64.44955 102.9181
44 255.0000 123.5540 0.000000 48.91110 36.21205 5.273561
45 69.49084 0.000000 0.000000 3.464473 2.270690 1.115481
46 255.0000 255.0000 141.8785 82.06045 94.78241 40.12919
47 0.000000 255.0000 145.0770 41.47128 73.82662 39.48533
48 113.3424 255.0000 255.0000 61.06240 82.44676 107.2488
