CTI1   

DESCRIPTOR "Argyll Calibration Target chart information 1"
ORIGINATOR "Argyll targen"
CREATED "Wed Apr  9 07:56:24 2025"
APPROX_WHITE_POINT "95.106486 100.000000 108.844025"
COLOR_REP "iRGB"
WHITE_COLOR_PATCHES "16"
BLACK_COLOR_PATCHES "16"
OFPS_PATCHES "3158"

NUMBER_OF_FIELDS 7
BEGIN_DATA_FORMAT
SAMPLE_ID RGB_R RGB_G RGB_B XYZ_X XYZ_Y XYZ_Z 
END_DATA_FORMAT

NUMBER_OF_SETS 3190
BEGIN_DATA
1 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
2 69.78771 163.0890 165.3201 23.22158 30.94457 41.01352
3 68.98509 180.2261 209.6452 31.10721 39.24571 66.94927
4 169.8375 234.6729 255.0000 64.57014 75.22562 105.6701
5 28.12071 89.49273 255.0000 22.92618 15.54780 96.34390
6 186.9065 191.6460 207.8351 51.10523 53.11635 67.41177
7 182.5205 63.94859 54.67773 22.70911 14.80492 6.060785
8 0.000000 174.0148 158.4313 22.13594 33.43175 38.37434
9 0.000000 0.000000 179.1469 9.070772 4.227799 43.50959
10 64.35922 39.72119 155.5961 9.766001 5.937687 32.46173
11 255.0000 68.04493 140.6779 48.61584 28.04445 28.54328
12 194.0203 27.00442 227.3648 37.19800 18.64625 74.73000
13 179.6821 140.8634 0.000000 28.97260 29.38898 5.006634
14 152.8259 50.23431 169.0551 22.20864 12.80527 39.36086
15 64.05913 73.03248 139.2534 10.09054 8.655331 26.28447
16 57.52233 108.5204 14.06179 8.142974 12.63442 3.283192
17 68.24814 193.6462 255.0000 40.27101 47.41284 101.5813
18 164.3262 63.54500 206.3126 29.08216 16.85551 60.60537
19 109.8189 171.1993 12.11905 21.86639 33.20511 6.465778
20 161.2345 119.0873 255.0000 40.01151 28.75599 97.99361
21 215.7248 235.3370 139.2647 63.09946 76.27790 36.55000
22 238.6116 104.3494 85.74464 42.70219 29.63636 12.99669
23 81.91283 135.1754 12.10234 13.10619 20.00109 4.377868
24 99.54182 255.0000 234.0934 56.27586 80.34358 90.56132
25 59.84587 39.89398 69.06501 4.649016 3.867918 6.947530
26 165.4707 255.0000 45.26484 52.33921 79.96131 16.02300
27 165.7600 130.1461 135.7954 28.82804 26.59917 27.46708
28 14.69234 160.2913 235.5910 28.61776 32.05849 83.82003
29 186.1905 131.4783 12.27091 29.26122 27.58445 4.996229
30 203.2295 255.0000 0.000000 60.85099 84.40484 13.94732
31 0.000000 73.46328 211.9057 15.14327 10.47855 63.70653
32 193.9344 156.9727 238.5909 50.30897 42.35620 86.94222
33 8.811323 11.41111 22.14814 1.377212 1.360601 1.808877
34 0.000000 0.000000 255.0000 18.87111 8.147314 95.12896
35 255.0000 0.000000 0.000000 41.83017 22.05217 2.913230
36 0.000000 255.0000 255.0000 54.27632 78.94783 106.9308
37 0.000000 255.0000 0.000000 36.40521 71.80052 12.80184
38 255.0000 0.000000 255.0000 59.70128 29.19948 97.04219
39 0.000000 124.4649 255.0000 26.06508 22.53325 97.52697
40 0.000000 188.4208 0.000000 18.89394 36.78288 6.964698
41 255.0000 255.0000 255.0000 95.10649 100.0000 108.8440
42 255.0000 0.000000 129.5363 45.78875 23.63535 23.76347
43 255.0000 193.7753 255.0000 78.75219 67.29598 103.3925
44 255.0000 119.7074 0.000000 48.44521 35.28041 5.118264
45 60.48724 0.000000 0.000000 2.874240 1.966364 1.087824
46 255.0000 255.0000 146.9536 82.44605 94.93662 42.16018
47 0.000000 255.0000 139.6397 41.06566 73.66440 37.34889
48 123.8651 255.0000 255.0000 62.48660 83.18108 107.3155
