CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1Pro 3 ; Serial number 0"
DESCRIPTOR	"Chart 2033 Patches"
FILTER	""
CREATED		"2025-04-06T20:23:11"

NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	2033
BEGIN_DATA
1	-	   23.18	  212.50	  255.00	
2	-	  255.00	   85.00	  231.82	
3	-	   69.55	  170.00	  208.64	
4	-	   69.55	  148.75	  162.27	
5	-	   92.73	  106.25	  231.82	
6	-	  208.64	  106.25	   92.73	
7	-	  185.45	  148.75	  162.27	
8	-	   46.36	   63.75	   92.73	
9	-	   23.18	  127.50	  115.91	
10	-	  162.27	  170.00	   92.73	
11	-	  139.09	  233.75	   92.73	
12	-	  231.82	   63.75	  185.45	
13	-	   23.18	   63.75	    0.00	
14	-	  255.00	  191.25	  208.64	
15	-	  208.64	   85.00	   46.36	
16	-	   23.18	  233.75	   92.73	
17	-	  162.27	  255.00	   46.36	
18	-	  127.50	  127.50	  127.50	
19	-	  231.82	  212.50	   23.18	
20	-	   23.18	   21.25	  139.09	
21	-	  176.07	  176.07	  176.07	
22	-	   46.36	  127.50	    0.00	
23	-	   69.55	   85.00	  139.09	
24	-	   23.18	  106.25	   23.18	
25	-	  162.27	  233.75	  162.27	
26	-	   23.18	  233.75	  115.91	
27	-	  185.45	  255.00	   23.18	
28	-	  185.45	   85.00	  208.64	
29	-	   23.18	    0.00	  115.91	
30	-	  185.45	   42.50	  162.27	
31	-	  208.64	  233.75	  231.82	
32	-	   92.73	  212.50	   69.55	
33	-	  185.45	    0.00	    0.00	
34	-	  208.64	  106.25	  162.27	
35	-	    0.00	  148.75	  231.82	
36	-	   23.18	   21.25	  162.27	
37	-	  162.27	  170.00	   69.55	
38	-	   92.73	  233.75	  162.27	
39	-	  231.82	  191.25	  139.09	
40	-	  139.09	  233.75	   23.18	
41	-	  255.00	  255.00	    0.00	
42	-	  162.27	   42.50	   69.55	
43	-	  231.82	  148.75	    0.00	
44	-	  208.64	  255.00	  162.27	
45	-	   23.18	  191.25	   46.36	
46	-	   69.55	   63.75	   69.55	
47	-	  208.64	  148.75	   69.55	
48	-	  115.91	   42.50	  139.09	
49	-	    0.00	  148.75	   69.55	
50	-	  185.45	  233.75	   92.73	
51	-	   69.55	  148.75	  255.00	
52	-	  115.91	    0.00	    0.00	
53	-	    0.00	  170.00	  231.82	
54	-	   46.36	  212.50	    0.00	
55	-	   69.55	   21.25	   23.18	
56	-	  255.00	  212.50	   69.55	
57	-	    0.00	  233.75	  162.27	
58	-	   92.73	   42.50	  162.27	
59	-	  231.82	  106.25	  115.91	
60	-	    0.00	   42.50	  208.64	
61	-	  255.00	   85.00	  162.27	
62	-	   69.55	   42.50	   92.73	
63	-	  208.64	  255.00	  208.64	
64	-	   46.36	  255.00	  115.91	
65	-	    0.00	  233.75	  139.09	
66	-	  231.82	  191.25	    0.00	
67	-	  255.00	  127.50	   69.55	
68	-	    0.00	  170.00	  115.91	
69	-	  230.15	  188.31	  188.31	
70	-	   46.36	  255.00	    0.00	
71	-	   23.18	   21.25	   23.18	
72	-	   92.73	  148.75	  162.27	
73	-	  139.09	  148.75	   23.18	
74	-	   23.18	  148.75	  162.27	
75	-	    0.00	    0.00	  162.27	
76	-	   92.73	  233.75	  255.00	
77	-	  139.09	   63.75	  162.27	
78	-	  208.64	  233.75	  255.00	
79	-	   92.73	  127.50	  255.00	
80	-	  231.82	  170.00	  208.64	
